game_symbol, game_name
Urban_Legend_in_Limbo, Urban Legend in Limbo
Unravel, Unravel
Mass_Effect_Andromeda, Mass Effect Andromeda
1001_Spikes, 1001 Spikes
Alien_Isolation, Alien Isolation
Drawn_to_Death, Drawn to Death
Grand_Kingdom, Grand Kingdom
Headlander, Headlander
Assassins_Creed_Revelations, Assassins Creed Revelations
Xeodrifter, Xeodrifter
Eve_Valkyrie, Eve Valkyrie
Loadout, Loadout
Grand_Theft_Auto_Online, Grand Theft Auto Online
City_Shrouded_in_Shadow, City Shrouded in Shadow
The_Banner_Saga, The Banner Saga
Mr._Goemon, Mr. Goemon
Nights_of_Azure, Nights of Azure
Arcania_Fall_of_Setarrif, Arcania Fall of Setarrif
Forgotten_Memories_Alternate_Realities, Forgotten Memories Alternate Realities
140, 140
BioShock, BioShock
Among_the_Sleep, Among the Sleep
Nuclear_Throne, Nuclear Throne
Deadlight, Deadlight
Silent_Hills, Silent Hills
The_Unfinished_Swan, The Unfinished Swan
Driveclub, Driveclub
Fahrenheit, Fahrenheit
Sebastien_Loeb_Rally_Evo, Sebastien Loeb Rally Evo
Super_Motherload, Super Motherload
Enter_the_Gungeon, Enter the Gungeon
Lego_Star_Wars_The_Force_Awakens, Lego Star Wars The Force Awakens
Divinity_Original_Sin, Divinity Original Sin
Anonymous_Code, Anonymous Code
MotoGP_14, MotoGP 14
Runemaster, Runemaster
Psychonauts, Psychonauts
TowerFall, TowerFall
Wolfenstein_The_New_Order, Wolfenstein The New Order
Hustle_Kings, Hustle Kings
Fallout_4_Nuka-World, Fallout 4 Nuka-World
Adventure_Capitalist, Adventure Capitalist
Grand_Theft_Auto_San_Andreas, Grand Theft Auto San Andreas
Dariusburst, Dariusburst
Spelunky, Spelunky
Prototype_2, Prototype 2
Final_Fantasy_VII, Final Fantasy VII
Fault_Milestone_One, Fault Milestone One
Crash_Bandicoot_Remastered_Collection, Crash Bandicoot Remastered Collection
The_Forest, The Forest
FIFA_15, FIFA 15
Tokyo_Xanadu, Tokyo Xanadu
Dead_Rising_2_Off_the_Record, Dead Rising 2 Off the Record
EA_Sports_UFC, EA Sports UFC
Air_Conflicts_Vietnam, Air Conflicts Vietnam
Rockets_Rockets_Rockets, Rockets Rockets Rockets
Pollen, Pollen
Seasons_After_Fall, Seasons After Fall
Dead_Rising, Dead Rising
Shantae_Half-Genie_Hero, Shantae Half-Genie Hero
Unepic, Unepic
Bloodborne, Bloodborne
Saints_Row_IV, Saints Row IV
The_Witcher_3_Wild_Hunt, The Witcher 3 Wild Hunt
The_Witness, The Witness
Mother_Russia_Bleeds, Mother Russia Bleeds
Outlast, Outlast
Just_Dance_2017, Just Dance 2017
Angry_Birds_Star_Wars, Angry Birds Star Wars
PaRappa_the_Rapper_2, PaRappa the Rapper 2
Destiny_Rise_of_Iron, Destiny Rise of Iron
ELEX, ELEX
NBA_Live_16, NBA Live 16
Friday_the_13th_The_Game, Friday the 13th The Game
Fat_Princess_Adventures, Fat Princess Adventures
Killzone_Shadow_Fall, Killzone Shadow Fall
DJMax_Respect, DJMax Respect
Rygar, Rygar
Injustice_2, Injustice 2
World_of_Final_Fantasy, World of Final Fantasy
Gravity_Ghost, Gravity Ghost
Dragon_Ball_Xenoverse_2, Dragon Ball Xenoverse 2
Devil_May_Cry_4, Devil May Cry 4
Lego_Marvels_Avengers, Lego Marvels Avengers
Volume, Volume
Call_of_Duty_Ghosts, Call of Duty Ghosts
Virginia, Virginia
Rebel_Galaxy, Rebel Galaxy
Rocksmith_2014, Rocksmith 2014
The_Elder_Scrolls_V_Skyrim, The Elder Scrolls V Skyrim
Prison_Architect, Prison Architect
CastleStorm, CastleStorm
Jenny_LeClue, Jenny LeClue
Curses_N_Chaos, Curses N Chaos
Neverwinter, Neverwinter
Gang_Beasts, Gang Beasts
Dreamfall_Chapters_The_Longest_Journey, Dreamfall Chapters The Longest Journey
Assassins_Creed_II, Assassins Creed II
Akibas_Beat, Akibas Beat
